serial_no,race,education,income,gender,age
0020161,47,01,,2,03
0020161,47,00,,2,01
0020175,47,11,007400,1,21
0020307,47,09,000000,1,65
0020367,47,16,342000,1,55
0020367,47,14,000000,2,57
0020392,47,14,090000,1,49
0020392,47,14,020000,2,43
0020392,47,02,,1,11
0020392,47,02,,1,09
0020530,47,09,051000,2,52
0020530,47,09,020000,1,27
0020530,47,00,,2,00
0020530,47,09,000000,2,21
0020602,47,16,036500,1,53
0020602,47,10,021600,2,50
0020746,37,06,000000,1,81
0020746,37,04,000000,2,80
0020746,37,06,015900,1,41
0020746,37,11,022000,2,28
0020746,37,01,,2,03
0020933,47,02,000000,2,88
0020961,01,07,010000,1,20
0020961,47,09,008000,2,19
0020974,47,13,342000,1,35
0020974,47,15,000000,2,36
0021000,47,10,004200,2,19
0021054,12,10,064000,1,55
0021070,47,15,000000,1,64
0021070,47,13,028700,2,64
0021107,47,08,000000,1,62
0021107,47,08,000000,2,57
0021107,47,13,041000,2,28
0021123,47,13,000000,1,67
0021124,47,09,000000,2,67
0021161,47,13,000000,1,83
0021161,47,13,000000,2,86
0021187,66,13,031200,1,58
0021187,47,09,038000,2,57
0021273,47,04,011000,2,59
0021273,47,11,002200,2,35
0021273,47,00,,1,00
0021321,32,09,004000,2,21
0021321,47,01,,1,04
0021321,47,00,,2,02
0021321,47,00,,1,00
0021321,47,09,028000,1,41
0021418,47,05,000000,2,82
0021444,47,11,023000,2,43
0021585,47,13,063000,1,44
0021585,47,12,023000,2,41
0021585,47,02,,2,10
0021594,47,09,000000,2,44
0021594,47,09,055000,1,47
0021757,47,04,000000,1,75
0021791,37,08,043900,2,46
0021791,37,09,001400,1,20
0021840,47,09,094000,1,56
0021840,47,09,000000,2,52
0021840,47,09,030000,2,28
0021867,47,10,000000,2,36
0021867,47,13,000000,1,36
0021867,47,02,,2,11
0022015,47,09,000000,2,40
0022015,47,09,045000,1,41
0022015,47,02,,2,10
0022015,47,01,,1,07
0022015,47,01,,2,05
0022103,47,13,000000,2,38
0022103,47,02,,1,10
0022103,47,13,000000,2,66
0022296,37,04,000000,2,64
0022296,37,09,019100,2,40
0022296,37,02,,2,07
0022315,47,07,000000,1,35
0022420,47,13,009100,1,29
0022420,47,11,032000,2,28
0022420,47,10,011800,2,18
0022420,47,11,008000,1,22
0022420,47,11,008000,1,21
0022590,66,11,028000,2,24
0022590,66,02,,2,08
0022766,47,13,093000,1,51
0022766,47,09,027000,2,49
0022846,47,14,048600,1,51
0022846,47,13,030800,2,55
0022935,47,09,000000,1,67
0022935,47,09,000000,2,59
0022938,47,09,000000,1,78
0022938,47,09,000000,2,71
0022938,47,09,000000,2,87
0023146,47,13,040000,2,45
0023146,47,06,000000,2,15
0023146,47,04,,2,14
0023146,47,03,,2,10
0023227,47,09,000000,2,79
0023227,47,08,050000,1,44
0023227,47,09,045000,1,40
0023227,47,03,,1,11
0023577,47,09,079000,1,51
0023577,47,11,008000,2,47
0023691,47,15,070000,1,26
0023712,37,11,003000,1,47
0023728,47,14,070000,1,32
0023728,47,13,031000,2,32
0023735,01,04,000000,2,39
0023735,01,01,,2,04
0023735,01,04,024000,1,32
0023822,47,15,000000,1,66
0023822,47,09,000000,2,67
0023887,01,12,000000,2,33
0023887,01,11,052000,1,20
0023887,01,11,000000,2,19
0023887,01,06,000000,2,16
0023887,01,03,,2,12
0023887,01,00,,1,00
0023887,01,06,035000,1,44
0024007,47,13,061000,2,33
0024090,47,14,122000,1,34
0024090,47,13,070000,2,33
0024101,47,06,000000,2,58
0024101,47,11,000000,1,54
0024247,37,09,037500,2,37
0024247,37,03,,2,12
0024295,47,06,000000,2,69
0024295,47,06,000000,1,74
0024295,47,09,021000,2,49
0024313,47,03,000000,2,44
0024313,47,06,000000,1,19
0024313,47,04,000000,2,15
0024328,47,11,055000,1,43
0024346,47,13,070000,2,53
0024368,47,09,000000,1,74
0024368,47,07,000000,2,80
0024380,47,07,030000,1,36
0024380,48,09,000000,2,67
0024380,01,08,025000,1,44
0024380,47,09,009000,1,17
0024500,37,03,001200,1,73
0024500,47,07,000000,2,44
0024500,68,09,017000,2,23
0024500,68,09,001500,1,22
0024500,68,01,,2,03
0024633,47,09,000000,1,93
0024783,47,09,032000,2,42
0024783,47,09,074000,1,44
0024805,47,10,072000,1,48
0024805,47,10,000000,2,49
0024805,47,02,,1,12
0024825,48,06,000000,2,26
0024825,48,02,,2,07
0024825,48,00,,2,00
0024825,01,06,000030,1,22
0024825,01,05,000000,2,15
0024825,01,08,000000,2,76
0024825,01,11,021200,2,48
0025009,47,09,001200,1,43
0025023,47,13,062000,1,43
0025023,47,13,003300,2,43
0025023,47,06,000880,2,17
0025023,47,04,000000,2,15
0025023,47,03,,1,12
0025146,47,06,000000,1,89
0025160,47,13,000000,2,93
0025185,11,13,120000,1,60
0025185,11,14,087000,2,57
0025225,37,12,030000,2,38
0025225,37,04,000000,2,16
0025225,37,02,,2,09
0025225,37,02,,1,05
0025278,48,04,000000,2,67
0025405,47,14,342000,1,38
0025405,47,13,012500,2,46
0025416,47,09,013500,2,20
0025416,47,00,,1,01
0025465,37,14,000000,2,64
0025465,37,13,015900,1,44
0025554,47,09,009500,1,63
0025554,47,11,044500,2,61
0025601,47,11,061000,1,31
0025601,47,14,091000,2,33
0025601,47,02,,1,05
0025601,47,00,,2,00
0025711,47,11,016000,2,50
0025751,57,10,000000,1,19
0025814,47,08,000000,2,86
0025814,47,15,040000,1,43
0025959,47,09,013100,2,36
0025962,47,12,013900,2,42
0025962,47,12,072000,1,45
0025962,47,06,000000,2,16
0025962,47,04,,1,13
0025984,47,10,062000,1,52
0025984,47,14,046000,2,49
0025984,47,07,002800,2,17
0025984,47,04,,1,14
0026144,47,09,030000,2,42
0026144,47,09,047000,1,40
0026144,47,01,,2,09
0026144,47,01,,1,07
0026144,47,04,000000,2,67
0026176,47,09,066000,1,40
0026176,47,12,002600,2,39
0026176,47,06,007700,2,17
0026176,47,04,000000,1,15
0026176,47,03,,2,13
0026183,47,15,070000,1,75
0026183,47,12,000000,2,65
0026291,47,09,032000,1,46
0026291,47,09,000000,2,43
0026291,47,09,008000,1,20
0026318,47,09,060000,2,41
0026318,47,11,075000,1,52
0026324,47,01,000000,2,31
0026483,47,13,095000,1,32
0026483,47,13,034300,2,32
0026483,47,00,,2,01
0026500,47,12,083000,1,39
0026500,47,02,000000,2,40
0026500,47,03,,2,11
0026500,47,02,,1,08
0026500,47,02,,1,07
0026622,47,09,050000,1,36
0026719,47,07,030000,1,56
0026719,47,06,000000,2,59
0026777,47,13,040000,2,48
0026777,47,13,030000,1,35
0026826,47,09,025000,1,20
0026826,47,09,003900,2,18
0026826,47,00,,2,01
0026829,47,09,016700,1,61
0026829,47,09,007200,2,56
0026898,47,09,032000,1,42
0026898,47,10,036000,2,39
0026898,47,04,000000,1,15
0026904,47,09,000000,1,77
0026904,47,09,000000,2,76
0026916,47,09,000000,2,85
0026916,47,13,006000,2,53
0027069,47,14,061000,1,46
0027069,47,11,000000,2,43
0027069,47,03,,1,12
0027069,47,02,,2,05
0027181,47,09,018000,2,46
0027181,47,05,000000,2,16
0027213,47,14,053000,2,31
0027213,47,13,058000,1,27
0027265,47,12,032000,1,33
0027265,47,09,015600,2,27
0027284,47,11,000000,1,62
0027284,47,09,000000,2,63
0027367,47,08,013000,1,24
0027367,47,02,008000,2,24
0027367,47,02,013000,1,35
0027367,47,09,008000,2,22
0027458,47,09,054000,1,41
0027458,47,06,023000,2,36
0027458,47,03,,2,13
0027458,47,04,,1,14
0027509,47,13,000000,2,66
0027528,47,15,000000,1,70
0027528,47,09,000000,2,68
0027528,47,09,028800,1,45
0027615,47,09,040000,1,43
0027615,47,13,030400,2,49
0027689,47,14,058000,1,50
0027689,47,14,055000,2,50
0027689,47,04,000000,2,77
0027715,47,12,023900,2,51
0027715,47,14,061000,1,53
0027715,47,13,023700,2,26
0027822,47,09,051000,1,32
0027822,47,09,012000,2,31
0027822,47,01,,1,06
0027822,47,01,,2,04
0027849,47,05,000000,2,72
0027851,47,09,026800,1,35
0027851,11,11,012000,2,26
0027949,47,13,000000,1,61
0027949,47,13,000000,2,58
0028280,47,09,000000,2,85
0028321,47,11,024000,1,34
0028321,47,12,040000,2,34
0028321,47,02,,2,09
0028321,47,01,,2,03
0028432,47,07,030000,1,33
0028432,47,02,,2,07
0028432,47,11,028000,2,40
0028449,47,09,020000,1,31
0028449,47,01,022000,2,34
0028449,47,01,,1,03
0028449,47,04,,2,14
0028509,47,11,000000,1,52
0028626,47,13,008000,2,52
