serial_no,race,education,income,gender,age
0013763,47,05,014500,1,34
0013763,47,00,,2,01
0013778,47,10,050000,1,37
0013778,47,09,008000,2,36
0013778,47,04,,1,13
0013778,47,02,,2,09
0013863,47,10,001000,2,22
0013868,47,09,033000,1,49
0013868,47,09,014300,2,48
0013868,47,06,000000,2,17
0013871,01,09,014000,1,33
0013871,01,13,022000,2,28
0013946,28,06,040000,1,46
0013946,28,08,031000,2,41
0013946,28,01,,1,12
0013949,47,10,000000,2,25
0013949,47,07,011000,1,25
0013949,47,02,,1,05
0013949,47,02,,1,04
0013992,47,09,018000,2,32
0014082,47,14,029700,1,34
0014089,47,10,032000,1,43
0014089,47,09,045000,2,42
0014129,47,09,021000,1,74
0014129,47,09,000000,2,68
0014170,47,16,048000,1,41
0014170,47,00,,1,00
0014170,47,13,022300,2,35
0014202,47,15,011900,2,30
0014202,47,10,006400,1,25
0014278,47,11,000000,1,76
0014278,47,09,000000,2,67
0014370,47,10,040000,1,36
0014370,47,09,000000,2,36
0014370,47,02,,2,04
0014370,47,01,,1,03
0014370,47,07,000000,1,17
0014370,47,02,,1,09
0014487,47,09,035000,1,41
0014487,47,12,035400,2,41
0014487,47,02,,2,07
0014487,47,01,,2,04
0014487,47,00,,2,01
0014496,47,11,040000,1,33
0014496,47,13,031000,2,33
0014496,47,02,,1,05
0014496,47,02,,1,03
0014557,47,05,000000,2,79
0014585,47,11,030300,1,33
0014585,47,11,021900,2,34
0014588,47,11,050000,1,49
0014588,47,09,006000,2,50
0014645,47,15,042000,2,43
0014693,47,12,004000,2,21
0014817,47,13,000000,1,79
0014817,47,14,000000,2,84
0014821,47,12,030000,1,43
0014821,47,09,010900,2,42
0014821,47,07,000000,1,17
0014821,47,06,000000,1,16
0014821,47,03,,1,13
0014956,47,11,012000,2,40
0014956,47,03,,2,13
0014956,47,02,,2,10
0014976,47,14,046000,2,40
0014976,47,12,045000,1,39
0014976,47,02,,1,10
0014976,47,01,,2,07
0014995,47,08,000000,2,78
0015064,37,06,000000,2,41
0015078,47,09,023000,2,22
0015084,47,13,034000,2,36
0015165,01,03,020000,1,45
0015165,01,03,011000,2,33
0015165,01,02,,2,04
0015165,01,02,,1,03
0015165,01,00,,1,01
0015165,01,03,,2,11
0015253,47,11,003600,1,75
0015253,47,11,005100,2,73
0015298,47,05,000000,2,70
0015350,47,06,026000,1,51
0015350,47,09,000000,2,50
0015358,47,11,028000,2,23
0015358,47,09,025000,1,24
0015384,47,04,000000,1,42
0015384,47,04,000000,2,41
0015384,47,04,000000,1,18
0015384,47,04,000000,1,16
0015384,47,03,,2,11
0015384,47,02,,1,07
0015384,47,01,,1,05
0015384,47,00,,2,02
0015394,47,11,048000,1,42
0015394,47,09,016000,2,41
0015394,47,06,000000,2,16
0015405,47,11,005000,1,20
0015443,47,06,000000,1,65
0015445,47,09,011100,2,65
0015460,47,11,030000,2,47
0015460,47,05,005000,2,16
0015460,47,03,,1,12
0015480,47,09,000000,2,65
0015480,47,10,000000,1,72
0015526,47,09,033000,1,46
0015687,47,13,039000,1,29
0015687,47,11,020000,2,30
0015687,47,00,,2,00
0015937,47,09,000000,1,49
0015937,47,12,000250,2,39
0016013,47,10,012000,2,44
0016013,47,04,000000,1,15
0016038,47,05,045000,1,42
0016038,47,08,038000,2,42
0016038,47,04,,2,14
0016090,47,12,014300,2,22
0016115,47,09,031000,2,34
0016115,47,04,,1,14
0016115,47,02,,2,10
0016115,47,09,062000,1,37
0016190,47,09,125000,1,48
0016190,47,13,012000,2,46
0016190,47,04,,1,14
0016190,47,02,,1,09
0016207,47,09,006200,1,44
0016207,47,11,003000,2,45
0016207,47,04,000000,2,16
0016207,47,02,,2,11
0016233,37,09,010100,2,30
0016233,37,09,021000,1,31
0016233,37,02,,2,05
0016233,37,00,,1,00
0016248,47,09,117000,1,45
0016248,47,09,000000,2,39
0016248,47,05,000000,2,16
0016248,47,03,,1,12
0016461,47,09,035000,1,58
0016461,47,06,007600,2,56
0016473,47,08,000000,1,78
0016473,47,08,000000,2,73
0016487,47,10,001900,2,18
0016535,47,10,005000,1,79
0016535,47,09,037700,2,58
0016542,47,08,000000,1,67
0016542,47,09,023200,2,71
0016547,47,04,000000,1,73
0016547,47,09,000000,2,68
0016547,47,09,026000,1,42
0016547,47,09,000000,2,40
0016559,47,11,000000,1,87
0016559,47,10,000000,2,82
0016622,47,11,000000,1,76
0016622,47,08,000000,2,76
0016631,47,09,050000,1,25
0016631,47,09,000000,2,23
0016631,47,02,,1,05
0016631,47,00,,1,01
0016631,47,00,,2,00
0016663,47,13,030000,1,36
0016679,47,11,012000,1,52
0016679,47,11,000000,2,51
0016783,47,08,041100,1,42
0016783,47,06,005900,2,39
0016783,47,03,,1,12
0016783,47,02,,2,08
0016794,47,12,038000,1,29
0016794,47,10,036000,2,34
0016794,47,00,,2,02
0016795,47,11,004700,1,62
0016795,47,11,040000,2,59
0016816,47,13,028000,2,44
0016816,47,05,000000,1,16
0016816,47,02,,1,11
0016939,48,13,008000,1,23
0016939,47,11,028000,1,22
0016986,47,09,050000,2,37
0016986,47,07,005600,1,17
0016986,47,03,,1,11
0017009,47,12,044000,1,51
0017009,47,12,023300,2,48
0017009,47,09,020000,1,23
0017009,47,10,009200,2,20
0017010,47,04,000000,2,84
0017022,47,09,050000,1,40
0017022,47,11,026000,2,30
0017022,47,02,,2,07
0017086,37,09,000000,2,71
0017086,37,11,035000,2,50
0017091,47,07,000000,2,63
0017161,47,09,029000,1,34
0017161,47,13,034000,2,29
0017161,47,02,,1,09
0017161,47,02,,1,06
0017161,47,01,,2,04
0017169,47,07,021600,1,51
0017220,47,12,024000,2,68
0017229,47,09,017000,1,57
0017290,47,09,056000,1,61
0017290,47,09,001500,2,66
0017375,46,09,035000,1,53
0017486,47,11,008500,1,20
0017486,47,13,000000,1,52
0017734,47,13,052000,1,47
0017734,47,11,000000,2,43
0017734,47,03,,1,13
0017734,47,03,,1,11
0017792,47,14,000000,1,53
0017825,47,12,056000,1,41
0017825,47,11,014800,2,40
0017825,47,04,000000,1,15
0017869,47,09,017000,2,48
0017944,47,11,000000,1,20
0017951,47,09,023000,1,19
0017951,01,09,013000,1,22
0017951,47,09,012000,2,20
0017981,47,11,070000,1,39
0017981,47,12,000000,2,36
0017981,47,03,,1,11
0017981,47,02,,1,06
0017981,47,01,,1,04
0018056,47,09,050000,1,52
0018056,47,09,004500,2,52
0018056,47,06,001800,2,16
0018125,47,13,118000,1,50
0018125,47,10,011500,2,49
0018125,47,11,002000,1,21
0018125,47,11,001700,2,21
0018132,47,09,000000,2,81
0018152,47,14,062000,1,33
0018223,47,09,000000,1,38
0018223,47,11,020000,2,33
0018223,47,04,,1,14
0018284,47,14,000000,1,64
0018284,47,13,000000,2,63
0018288,47,09,038000,1,46
0018288,47,11,025000,2,46
0018316,47,12,028000,1,41
0018316,47,13,043000,2,42
0018316,47,02,,1,08
0018398,47,09,024600,1,37
0018398,47,09,021000,2,32
