serial_no,race,education,income,gender,age
0050251,37,15,003000,2,24
0050329,47,13,019600,1,34
0050329,15,14,150000,2,35
0050342,37,11,020100,2,24
0050342,37,02,,2,04
0050346,47,15,140000,1,48
0050346,47,09,023900,2,46
0050346,47,13,000000,1,22
0050346,47,05,000000,1,15
0050479,47,09,015000,1,26
0050479,47,09,015000,2,24
0050479,47,01,,1,03
0050479,47,01,,2,08
0050602,47,13,000000,1,66
0050602,66,11,000000,2,62
0050602,47,08,060000,1,39
0050602,47,05,000000,1,15
0050602,47,03,,2,13
0051196,47,08,150000,1,41
0051196,66,09,003600,2,37
0051196,66,02,,2,07
0051196,66,02,,1,06
0051196,66,04,000000,2,15
0051285,47,09,068000,1,45
0051285,47,09,020000,2,42
0051285,47,04,000000,1,15
0051349,47,09,000000,2,70
0051349,47,10,051000,1,39
0051439,01,08,010000,1,32
0051439,01,08,000000,2,32
0051439,01,08,012000,1,25
0051439,01,07,000000,2,22
0051491,47,13,012000,1,62
0051491,47,11,009200,2,61
0051513,47,09,000000,2,69
0051513,47,09,000000,1,65
0051560,37,05,000000,2,37
0051560,37,09,001500,1,20
0051560,37,06,000000,2,15
0051748,47,09,058000,1,40
0051748,47,09,000000,2,38
0051748,47,07,006000,1,18
0051748,47,05,000000,1,16
0051748,47,03,,2,11
0051750,47,04,000000,2,63
0051750,47,09,000000,2,38
0051828,37,09,000000,1,27
0051828,37,00,,2,01
0051828,37,00,,2,00
0051828,06,11,000000,2,24
0051833,47,09,000000,1,22
0051833,47,09,008300,2,20
0051898,01,09,085000,1,45
0051898,01,01,000000,2,44
0051898,01,06,010000,1,16
0052037,47,09,011800,1,53
0052037,47,09,011500,2,53
0052037,47,10,039000,2,30
0052037,47,02,,1,09
0052309,47,09,000000,1,69
0052309,47,11,000000,1,44
0052784,47,10,015800,1,48
0052784,47,13,050000,2,46
0052792,47,14,036000,1,50
0052792,47,13,036000,2,48
0052853,47,06,000000,2,68
0052943,47,09,018200,1,33
0052943,47,11,025000,2,32
0052943,47,02,,1,09
0052943,47,01,,2,05
0053240,47,11,000000,2,44
0053240,47,15,002800,1,60
0053259,47,12,030000,2,43
0053259,47,09,000000,1,46
0053301,47,09,024700,2,43
0053301,47,09,000000,2,24
0053301,47,01,,2,03
0053305,47,09,000000,1,49
0053343,01,09,009600,1,26
0053343,01,09,000000,2,27
0053343,01,01,,1,03
0053468,47,14,155000,1,46
0053468,47,13,000000,2,47
0053468,47,02,,2,07
0053468,47,01,,2,04
0053561,20,03,018800,2,63
0053561,20,08,003400,2,45
0053776,47,05,000000,1,92
0053787,37,13,026000,2,46
