serial_no,race,education,income,gender,age
0014082,47,16,000000,1,72
0014082,47,16,000000,2,73
0014089,47,05,000000,1,78
0014089,47,09,000000,2,67
0014278,47,09,050000,1,56
0014278,47,15,031000,2,53
0014278,47,13,070000,1,29
0014308,47,09,048500,1,35
0014308,47,11,001400,2,28
0014308,47,02,,2,08
0014308,47,02,,2,05
0014308,47,02,,2,05
0014487,47,09,031900,1,35
0014487,47,10,026200,2,40
0014487,47,02,,2,10
0014585,47,09,017600,1,39
0014588,37,09,002200,2,59
0014588,37,09,030000,1,36
0014588,37,05,000000,2,15
0014588,37,04,,1,13
0014588,47,04,,2,12
0014588,37,02,,1,06
0014588,37,02,,1,06
0014588,37,08,013000,1,44
0014645,37,09,000000,1,28
0014693,37,04,000000,2,69
0014693,37,04,,2,13
0014693,37,03,,2,10
0014821,47,11,021800,2,29
0014956,47,04,000000,2,70
0014956,47,09,000000,1,49
0014956,47,09,038000,1,43
0014976,37,08,000000,2,24
0014976,37,01,,1,05
0014976,37,01,,2,04
0014976,37,00,,1,01
0014995,47,11,000000,1,51
0014995,47,09,000000,2,47
0014995,47,11,005100,2,20
0015007,47,14,110000,1,42
0015007,47,13,000000,2,36
0015007,47,01,,1,07
0015007,47,01,,1,05
0015007,47,03,,1,12
0015064,37,10,000000,2,49
0015064,37,12,020000,2,47
0015084,47,13,035000,1,30
0015084,47,13,035000,2,38
0015084,47,05,000000,2,16
0015165,37,03,000000,1,69
0015165,37,03,000000,2,71
0015253,47,11,016000,2,55
0015298,47,09,000000,1,46
0015298,47,07,000000,2,44
0015298,47,07,000300,1,17
0015298,47,07,000590,2,18
0015350,47,09,009600,1,44
0015350,47,11,020600,2,38
0015350,47,03,,1,12
0015384,47,09,002500,1,78
0015384,47,09,002500,2,73
0015394,37,05,012500,1,34
0015394,37,10,010000,2,39
0015394,37,09,012900,1,45
0015405,47,11,018000,1,40
0015405,47,13,034300,2,38
0015405,47,04,,2,14
0015405,47,02,,1,10
0015460,47,09,000000,1,65
0015460,47,10,000000,2,60
0015480,47,04,021600,1,51
0015480,47,09,008000,2,45
0015502,47,07,000000,2,84
0015526,47,13,058000,1,38
0015526,47,13,044500,2,38
0015687,47,13,000000,1,47
0015687,47,05,000000,2,17
0015687,47,03,,2,14
0015687,47,02,,1,05
0015687,47,09,009000,1,26
0015687,47,02,,1,05
0015687,47,00,,2,01
0015687,47,10,000000,2,50
0016013,47,14,047500,1,51
0016013,47,11,000000,2,49
0016013,47,09,000000,2,82
0016090,47,09,051000,1,38
0016090,47,05,003000,2,37
0016090,47,09,000000,2,18
0016090,47,06,000000,2,17
0016115,47,11,000540,2,21
0016190,47,09,000000,2,93
0016233,37,11,000000,2,64
0016248,37,11,000000,2,19
0016461,47,05,000000,2,74
0016461,47,09,000000,2,36
0016461,47,09,000000,2,32
0016473,47,09,048000,1,47
0016473,47,08,000250,2,21
0016535,47,09,015000,2,57
0016535,47,09,000000,2,60
0016535,47,01,000000,2,93
0016559,47,13,060000,1,30
0016559,47,11,000000,2,21
0016559,47,00,,2,00
0016622,47,07,000000,2,64
0016622,47,04,000000,2,39
0016622,47,13,020000,1,27
0016631,47,12,014000,2,27
0016679,47,12,065000,1,42
0016679,47,09,000000,2,44
0016679,47,05,000000,1,16
0016794,47,11,000000,2,87
0016795,47,13,062000,2,57
0016816,37,12,050000,1,46
